timestamp,pid,name,cpu_percent,memory_percent,io_read_bytes,io_write_bytes,voluntary_context_switches,involuntary_context_switches,num_threads,status
2026-09-09T15:06:49.565059,478,SessionLeader,0.0,0.014064931588475226,0,0,2,0,1,sleeping
2026-09-09T15:06:49.565170,479,Relay(480),0.0,0.015778937588504464,0,0,5482,0,1,sleeping
2026-09-09T15:06:49.565281,480,bash,0.0,0.06931641911882952,144330752,44417024,1415,0,1,sleeping
2026-09-09T15:06:49.565375,484,login,0.0,0.05883073535394476,0,0,61,0,1,sleeping
2026-09-09T15:06:49.565484,528,systemd,0.0,0.14508556670835734,0,0,433,3,1,sleeping
2026-09-09T15:06:49.565592,530,(sd-pam),0.0,0.04501786347135618,0,0,1,0,1,sleeping
2026-09-09T15:06:49.565719,555,bash,0.0,0.06790488476586426,376832,0,45,0,1,sleeping
2026-09-09T15:06:49.565813,908,SessionLeader,0.0,0.014165755470829886,0,0,2,0,1,sleeping
2026-09-09T15:06:49.565908,909,Relay(914),0.0,0.015879761470859125,0,0,276,0,1,sleeping
2026-09-09T15:06:49.566004,914,bash,0.0,0.06876188776587888,2375680,0,57,0,1,sleeping
2026-09-09T15:06:49.566089,955,SessionLeader,0.0,0.014165755470829886,0,0,2,0,1,sleeping
2026-09-09T15:06:49.566171,957,Relay(959),0.0,0.014266579353184547,0,0,146,0,1,sleeping
2026-09-09T15:06:49.566265,959,bash,0.0,0.06876188776587888,6848512,0,73,0,1,sleeping
2026-09-09T15:06:49.566364,1508,polkitd,0.0,0.10268912417822235,0,0,44,0,4,sleeping
2026-09-09T15:06:49.566448,1678,SessionLeader,0.0,0.014165755470829886,0,0,2,0,1,sleeping
2026-09-09T15:06:49.566531,1680,Relay(1683),0.0,0.014266579353184547,0,0,114,0,1,sleeping
2026-09-09T15:06:49.566648,1683,bash,0.0,0.06871147582470155,0,0,69,0,1,sleeping
2026-09-09T15:06:49.566742,2132,ssh-agent,0.0,0.04380797688310025,0,0,41,0,1,sleeping
2026-09-09T15:06:49.566857,3026,SessionLeader,0.0,0.014165755470829886,0,0,2,0,1,sleeping
2026-09-09T15:06:49.566981,3028,Relay(3031),0.0,0.014266579353184547,0,0,248,0,1,sleeping
2026-09-09T15:06:49.567094,3031,bash,0.0,0.06861065194234689,778240,57344,147,0,1,sleeping
2026-09-09T15:06:49.567181,3222,python,0.5,0.16832547159110672,5017600,12288,70,0,1,running
2026-09-09T15:06:51.568309,1,systemd,0.0,0.16701476112049612,0,0,1732,54,1,sleeping
2026-09-09T15:06:51.568427,2,init-systemd(Ub,0.0,0.027827391529886468,0,0,59,0,2,sleeping
2026-09-09T15:06:51.568564,7,init,0.0,0.025810913882793246,0,0,2,0,2,sleeping
2026-09-09T15:06:51.568647,40,systemd-journald,0.0,0.2024039438269822,0,0,1979,5,1,sleeping
2026-09-09T15:06:51.568758,94,systemd-udevd,0.0,0.08070951782490622,0,0,4395,24,1,sleeping
2026-09-09T15:06:51.568835,166,systemd-resolved,0.0,0.1669643491793188,0,0,416,0,1,sleeping
2026-09-09T15:06:51.569026,167,systemd-timesyncd,0.0,0.10067264653112912,0,0,775,9,2,sleeping
2026-09-09T15:06:51.569183,177,cron,0.0,0.0338264125299888,0,0,299,0,1,sleeping
2026-09-09T15:06:51.569275,178,dbus-daemon,0.0,0.06891312358941086,0,0,1015,0,1,sleeping
2026-09-09T15:06:51.569354,208,systemd-logind,0.0,0.11130956611954587,0,0,1446,7,1,sleeping
2026-09-09T15:06:51.569422,235,agetty,0.0,0.024903498941601297,0,0,8,0,1,sleeping
2026-09-09T15:06:51.569489,237,rsyslogd,0.0,0.07430720129538523,0,0,40,2,4,sleeping
2026-09-09T15:06:51.569556,259,unattended-upgr,0.0,0.2936999692991278,0,0,123,2,2,sleeping
2026-09-09T15:06:51.569723,309,apache2,0.0,0.06467852053051511,0,0,11879,43,1,sleeping
2026-09-09T15:06:51.569803,312,apache2,0.0,0.07289566694241999,0,0,2,0,27,sleeping
2026-09-09T15:06:51.569871,313,apache2,0.0,0.07294607888359732,0,0,2,0,27,sleeping
2026-09-09T15:06:51.569933,478,SessionLeader,0.0,0.014064931588475226,0,0,2,0,1,sleeping
2026-09-09T15:06:51.569993,479,Relay(480),0.0,0.015778937588504464,0,0,5482,0,1,sleeping
2026-09-09T15:06:51.570068,480,bash,0.0,0.06931641911882952,144330752,44417024,1415,0,1,sleeping
2026-09-09T15:06:51.570138,484,login,0.0,0.05883073535394476,0,0,61,0,1,sleeping
2026-09-09T15:06:51.570208,528,systemd,0.0,0.14508556670835734,0,0,433,3,1,sleeping
2026-09-09T15:06:51.570267,530,(sd-pam),0.0,0.04501786347135618,0,0,1,0,1,sleeping
2026-09-09T15:06:51.570335,555,bash,0.0,0.06790488476586426,376832,0,45,0,1,sleeping
2026-09-09T15:06:51.570390,908,SessionLeader,0.0,0.014165755470829886,0,0,2,0,1,sleeping
2026-09-09T15:06:51.570439,909,Relay(914),0.0,0.015879761470859125,0,0,276,0,1,sleeping
2026-09-09T15:06:51.570494,914,bash,0.0,0.06876188776587888,2375680,0,57,0,1,sleeping
2026-09-09T15:06:51.570543,955,SessionLeader,0.0,0.014165755470829886,0,0,2,0,1,sleeping
2026-09-09T15:06:51.570590,957,Relay(959),0.0,0.014266579353184547,0,0,146,0,1,sleeping
2026-09-09T15:06:51.570642,959,bash,0.0,0.06876188776587888,6848512,0,73,0,1,sleeping
2026-09-09T15:06:51.570691,1508,polkitd,0.0,0.10268912417822235,0,0,44,0,4,sleeping
2026-09-09T15:06:51.570737,1678,SessionLeader,0.0,0.014165755470829886,0,0,2,0,1,sleeping
2026-09-09T15:06:51.570781,1680,Relay(1683),0.0,0.014266579353184547,0,0,114,0,1,sleeping
2026-09-09T15:06:51.570833,1683,bash,0.0,0.06871147582470155,0,0,69,0,1,sleeping
2026-09-09T15:06:51.570882,2132,ssh-agent,0.0,0.04380797688310025,0,0,41,0,1,sleeping
2026-09-09T15:06:51.570924,3026,SessionLeader,0.0,0.014165755470829886,0,0,2,0,1,sleeping
2026-09-09T15:06:51.570965,3028,Relay(3031),0.0,0.014266579353184547,0,0,248,0,1,sleeping
2026-09-09T15:06:51.571013,3031,bash,0.0,0.06861065194234689,778240,57344,147,0,1,sleeping
2026-09-09T15:06:51.571062,3222,python,0.5,0.16832547159110672,5017600,16384,71,0,1,running
2026-09-09T15:06:53.572443,1,systemd,0.0,0.16701476112049612,0,0,1732,54,1,sleeping
2026-09-09T15:06:53.572589,2,init-systemd(Ub,0.0,0.027827391529886468,0,0,59,0,2,sleeping
2026-09-09T15:06:53.572755,7,init,0.0,0.025810913882793246,0,0,2,0,2,sleeping
2026-09-09T15:06:53.572866,40,systemd-journald,0.0,0.2024039438269822,0,0,1979,5,1,sleeping
2026-09-09T15:06:53.573090,94,systemd-udevd,0.0,0.08070951782490622,0,0,4395,24,1,sleeping
2026-09-09T15:06:53.573191,166,systemd-resolved,0.0,0.1669643491793188,0,0,416,0,1,sleeping
2026-09-09T15:06:53.573358,167,systemd-timesyncd,0.0,0.10067264653112912,0,0,775,9,2,sleeping
2026-09-09T15:06:53.573476,177,cron,0.0,0.0338264125299888,0,0,299,0,1,sleeping
2026-09-09T15:06:53.573566,178,dbus-daemon,0.0,0.06891312358941086,0,0,1015,0,1,sleeping
2026-09-09T15:06:53.573652,208,systemd-logind,0.0,0.11130956611954587,0,0,1446,7,1,sleeping
2026-09-09T15:06:53.573750,235,agetty,0.0,0.024903498941601297,0,0,8,0,1,sleeping
2026-09-09T15:06:53.573842,237,rsyslogd,0.0,0.07430720129538523,0,0,40,2,4,sleeping
2026-09-09T15:06:53.573930,259,unattended-upgr,0.0,0.2936999692991278,0,0,123,2,2,sleeping
2026-09-09T15:06:53.574044,309,apache2,0.0,0.06467852053051511,0,0,11881,43,1,sleeping
2026-09-09T15:06:53.574137,312,apache2,0.0,0.07289566694241999,0,0,2,0,27,sleeping
2026-09-09T15:06:53.574255,313,apache2,0.0,0.07294607888359732,0,0,2,0,27,sleeping
2026-09-09T15:06:53.574368,478,SessionLeader,0.0,0.014064931588475226,0,0,2,0,1,sleeping
2026-09-09T15:06:53.574458,479,Relay(480),0.0,0.015778937588504464,0,0,5482,0,1,sleeping
2026-09-09T15:06:53.574566,480,bash,0.0,0.06931641911882952,144330752,44417024,1415,0,1,sleeping
